mes,parcela,juros,amortizacao,saldo_devedor
189,1099.20,527.81,451.39,77187.50
190,1096.13,524.74,451.39,76736.11
191,1093.06,521.67,451.39,76284.72
192,1089.99,518.61,451.39,75833.33
193,1086.93,515.54,451.39,75381.94
194,1083.86,512.47,451.39,74930.56
195,1080.79,509.40,451.39,74479.17
196,1077.72,506.33,451.39,74027.78
197,1074.65,503.26,451.39,73576.39
198,1071.58,500.19,451.39,73125.00
199,1068.51,497.13,451.39,72673.61
200,1065.45,494.06,451.39,72222.22
201,1062.38,490.99,451.39,71770.83
202,1059.31,487.92,451.39,71319.44
203,1056.24,484.85,451.39,70868.06
204,1053.17,481.78,451.39,70416.67
205,1050.10,478.71,451.39,69965.28
206,1047.03,475.64,451.39,69513.89
207,1043.96,472.58,451.39,69062.50
208,1040.90,469.51,451.39,68611.11
209,1037.83,466.44,451.39,68159.72
210,1034.76,463.37,451.39,67708.33
211,1031.69,460.30,451.39,67256.94
212,1028.62,457.23,451.39,66805.56
213,1025.55,454.16,451.39,66354.17
214,1022.48,451.09,451.39,65902.78
215,1019.42,448.03,451.39,65451.39
216,1016.35,444.96,451.39,65000.00
217,1013.28,441.89,451.39,64548.61
218,1010.21,438.82,451.39,64097.22
219,1007.14,435.75,451.39,63645.83
220,1004.07,432.68,451.39,63194.44
221,1001.00,429.61,451.39,62743.06
222,997.93,426.55,451.39,62291.67
223,994.87,423.48,451.39,61840.28
224,991.80,420.41,451.39,61388.89
225,988.73,417.34,451.39,60937.50
226,985.66,414.27,451.39,60486.11
227,982.59,411.20,451.39,60034.72
228,979.52,408.13,451.39,59583.33
229,976.45,405.06,451.39,59131.94
230,973.39,402.00,451.39,58680.56
231,970.32,398.93,451.39,58229.17
232,967.25,395.86,451.39,57777.78
233,964.18,392.79,451.39,57326.39
234,961.11,389.72,451.39,56875.00
235,958.04,386.65,451.39,56423.61
236,954.97,383.58,451.39,55972.22
237,951.90,380.52,451.39,55520.83
238,948.84,377.45,451.39,55069.44
239,945.77,374.38,451.39,54618.06
240,942.70,371.31,451.39,54166.67
241,939.63,368.24,451.39,53715.28
242,936.56,365.17,451.39,53263.89
243,933.49,362.10,451.39,52812.50
244,930.42,359.03,451.39,52361.11
245,927.35,355.97,451.39,51909.72
246,924.29,352.90,451.39,51458.33
247,921.22,349.83,451.39,51006.94
248,918.15,346.76,451.39,50555.56
249,915.08,343.69,451.39,50104.17
250,912.01,340.62,451.39,49652.78
251,908.94,337.55,451.39,49201.39
252,905.87,334.49,451.39,48750.00
253,902.81,331.42,451.39,48298.61
254,899.74,328.35,451.39,47847.22
255,896.67,325.28,451.39,47395.83
256,893.60,322.21,451.39,46944.44
257,890.53,319.14,451.39,46493.06
258,887.46,316.07,451.39,46041.67
259,884.39,313.00,451.39,45590.28
260,881.32,309.94,451.39,45138.89
261,878.26,306.87,451.39,44687.50
262,875.19,303.80,451.39,44236.11
263,872.12,300.73,451.39,43784.72
264,869.05,297.66,451.39,43333.33
265,865.98,294.59,451.39,42881.94
266,862.91,291.52,451.39,42430.56
267,859.84,288.46,451.39,41979.17
268,856.78,285.39,451.39,41527.78
269,853.71,282.32,451.39,41076.39
270,850.64,279.25,451.39,40625.00
271,847.57,276.18,451.39,40173.61
272,844.50,273.11,451.39,39722.22
273,841.43,270.04,451.39,39270.83
274,838.36,266.97,451.39,38819.44
275,835.29,263.91,451.39,38368.06
276,832.23,260.84,451.39,37916.67
277,829.16,257.77,451.39,37465.28
278,826.09,254.70,451.39,37013.89
279,823.02,251.63,451.39,36562.50
280,819.95,248.56,451.39,36111.11
281,816.88,245.49,451.39,35659.72
282,813.81,242.43,451.39,35208.33
283,810.75,239.36,451.39,34756.94
284,807.68,236.29,451.39,34305.56
285,804.61,233.22,451.39,33854.17
286,801.54,230.15,451.39,33402.78
287,798.47,227.08,451.39,32951.39
288,795.40,224.01,451.39,32500.00
289,792.33,220.94,451.39,32048.61
290,789.26,217.88,451.39,31597.22
291,786.20,214.81,451.39,31145.83
292,783.13,211.74,451.39,30694.44
293,780.06,208.67,451.39,30243.06
294,776.99,205.60,451.39,29791.67
295,773.92,202.53,451.39,29340.28
296,770.85,199.46,451.39,28888.89
297,767.78,196.40,451.39,28437.50
298,764.72,193.33,451.39,27986.11
299,761.65,190.26,451.39,27534.72
300,758.58,187.19,451.39,27083.33
301,755.51,184.12,451.39,26631.94
302,752.44,181.05,451.39,26180.56
303,749.37,177.98,451.39,25729.17
304,746.30,174.91,451.39,25277.78
305,743.23,171.85,451.39,24826.39
306,740.17,168.78,451.39,24375.00
307,737.10,165.71,451.39,23923.61
308,734.03,162.64,451.39,23472.22
309,730.96,159.57,451.39,23020.83
310,727.89,156.50,451.39,22569.44
311,724.82,153.43,451.39,22118.06
312,721.75,150.36,451.39,21666.67
313,718.69,147.30,451.39,21215.28
314,715.62,144.23,451.39,20763.89
315,712.55,141.16,451.39,20312.50
316,709.48,138.09,451.39,19861.11
317,706.41,135.02,451.39,19409.72
318,703.34,131.95,451.39,18958.33
319,700.27,128.88,451.39,18506.94
320,697.20,125.82,451.39,18055.56
321,694.14,122.75,451.39,17604.17
322,691.07,119.68,451.39,17152.78
323,688.00,116.61,451.39,16701.39
324,684.93,113.54,451.39,16250.00
325,681.86,110.47,451.39,15798.61
326,678.79,107.40,451.39,15347.22
327,675.72,104.33,451.39,14895.83
328,672.66,101.27,451.39,14444.44
329,669.59,98.20,451.39,13993.06
330,666.52,95.13,451.39,13541.67
331,663.45,92.06,451.39,13090.28
332,660.38,88.99,451.39,12638.89
333,657.31,85.92,451.39,12187.50
334,654.24,82.85,451.39,11736.11
335,651.17,79.79,451.39,11284.72
336,648.11,76.72,451.39,10833.33
337,645.04,73.65,451.39,10381.94
338,641.97,70.58,451.39,9930.56
339,638.90,67.51,451.39,9479.17
340,635.83,64.44,451.39,9027.78
341,632.76,61.37,451.39,8576.39
342,629.69,58.30,451.39,8125.00
343,626.63,55.24,451.39,7673.61
344,623.56,52.17,451.39,7222.22
345,620.49,49.10,451.39,6770.83
346,617.42,46.03,451.39,6319.44
347,614.35,42.96,451.39,5868.06
348,611.28,39.89,451.39,5416.67
349,608.21,36.82,451.39,4965.28
350,605.14,33.76,451.39,4513.89
351,602.08,30.69,451.39,4062.50
352,599.01,27.62,451.39,3611.11
353,595.94,24.55,451.39,3159.72
354,592.87,21.48,451.39,2708.33
355,589.80,18.41,451.39,2256.94
356,586.73,15.34,451.39,1805.56
357,583.66,12.27,451.39,1354.17
358,580.59,9.21,451.39,902.78
359,577.53,6.14,451.39,451.39
360,574.46,3.07,451.39,0.00
